DATE,TG,RR,WS,HU,PP
2015-10-10,30.3,0.0,16.0,70,1006.2
2015-10-11,31.1,0.0,20.5,67,1007.0
2015-10-12,30.5,0.0,15.8,66,1009.6
2015-10-13,29.9,0.0,17.1,67,1009.4
2015-10-14,31.6,0.0,19.3,59,1010.2
2015-10-15,31.1,0.0,18.8,57,1011.5
2015-10-16,31.1,0.2,20.1,59,1012.6
2015-10-17,30.6,0.0,22.9,63,1012.7
2015-10-18,29.4,0.0,21.7,71,1012.9
2015-10-19,30.3,0.0,20.9,65,1013.4
2015-10-20,29.7,0.0,20.4,67,1011.6
2015-10-21,30.8,0.0,23.1,55,1010.3
2015-10-22,31.6,0.0,21.0,51,1011.5
2015-10-23,30.6,0.1,23.4,59,1011.8
2015-10-24,29.1,0.0,21.1,64,1011.1
2015-10-25,29.3,0.0,20.3,53,1010.9
2015-10-26,31.1,0.0,18.7,47,1011.7
2015-10-27,31.0,0.0,25.8,56,1012.3
2015-10-28,30.4,0.0,22.0,54,1012.1
2015-10-29,29.0,0.0,20.7,47,1013.4
2015-10-30,28.1,0.0,17.3,51,1014.4
2015-10-31,28.0,0.0,18.7,47,1013.6
2015-11-01,27.5,0.0,19.8,50,1013.6
2015-11-02,28.0,0.0,16.4,52,1014.1
2015-11-03,27.9,0.0,19.7,60,1014.6
2015-11-04,28.5,0.0,19.9,61,1014.0
2015-11-05,28.1,0.0,14.1,59,1013.6
2015-11-06,27.9,0.0,18.6,58,1012.5
2015-11-07,27.5,0.0,16.8,67,1012.8
2015-11-08,27.9,0.0,18.4,65,1013.7
2015-11-09,27.5,0.0,19.3,66,1013.0
2015-11-10,29.4,0.0,28.7,41,1010.4
2015-11-11,30.0,0.0,36.4,37,1010.3
2015-11-12,24.4,0.9,30.5,64,1016.0
2015-11-13,24.4,0.0,20.4,55,1017.7
2015-11-14,24.4,0.0,28.2,57,1014.7
2015-11-15,25.6,0.0,14.6,47,1014.1
2015-11-16,25.5,0.0,16.1,49,1014.8
2015-11-17,25.2,0.0,15.7,53,1014.0
2015-11-18,25.4,0.0,15.8,57,1014.1
2015-11-19,25.4,0.0,18.2,58,1015.5
2015-11-20,25.5,0.0,17.2,63,1014.5
2015-11-21,25.1,0.0,23.7,55,1014.4
2015-11-22,23.8,0.0,13.3,53,1015.5
2015-11-23,24.1,0.0,24.6,49,1015.4
2015-11-24,24.7,1.4,26.7,50,1015.4
2015-11-25,25.2,0.0,30.6,40,1017.8
2015-11-26,24.9,0.0,22.9,46,1018.3
2015-11-27,24.7,0.0,22.2,59,1016.4
2015-11-28,24.6,0.0,24.0,64,1015.1
2015-11-29,24.3,0.0,13.0,65,1016.1
2015-11-30,23.6,0.0,19.8,72,1017.5
2015-12-01,24.7,0.0,19.1,72,1018.3
2015-12-02,24.1,0.0,20.0,70,1017.6
2015-12-03,23.4,0.0,15.3,71,1017.9
2015-12-04,23.1,0.0,14.0,73,1016.0
2015-12-05,24.7,0.0,18.4,71,1015.2
2015-12-06,24.6,0.0,19.1,68,1014.9
2015-12-07,21.3,0.0,35.6,63,1017.8
2015-12-08,20.0,0.0,33.6,53,1019.0
2015-12-09,19.8,0.0,12.8,50,1019.6
2015-12-10,19.6,0.0,20.0,48,1020.4
2015-12-11,20.0,0.0,21.7,46,1018.4
2015-12-12,19.3,0.0,17.8,47,1016.2
2015-12-13,19.5,0.0,18.8,53,1015.8
2015-12-14,21.5,0.0,18.9,55,1016.2
2015-12-15,21.2,0.0,21.4,56,1017.0
2015-12-16,20.1,0.0,26.1,55,1019.1
2015-12-17,18.7,0.0,17.1,62,1019.5
2015-12-18,19.0,0.0,12.4,62,1019.8
2015-12-19,19.3,0.0,15.2,73,1019.9
2015-12-20,20.7,0.0,14.0,74,1019.5
2015-12-21,21.2,0.0,18.0,75,1018.5
2015-12-22,21.3,0.0,22.4,60,1021.2
2015-12-23,21.1,0.0,24.7,64,1021.6
2015-12-24,23.5,0.0,19.2,59,1019.5
2015-12-25,23.1,0.0,23.0,56,1019.1
2015-12-26,19.7,7.8,35.3,82,1021.3
2015-12-27,19.6,0.0,17.5,74,1023.8
2015-12-28,19.1,0.0,18.2,71,1024.4
2015-12-29,19.6,0.0,11.7,71,1022.0
2015-12-30,18.3,0.0,13.7,77,1016.8
2015-12-31,21.0,0.0,16.1,63,1017.2
2016-01-01,23.1,0.0,19.7,64,1017.7
2016-01-02,23.2,0.0,17.1,67,1016.8
2016-01-03,19.8,6.3,31.4,70,1019.2
2016-01-04,17.8,0.0,22.5,69,1021.3
2016-01-05,18.0,0.0,18.6,67,1019.5
2016-01-06,19.9,0.0,27.6,61,1018.0
2016-01-07,19.2,0.0,23.5,69,1019.4
2016-01-08,18.4,0.0,13.0,73,1019.5
2016-01-09,19.0,0.0,13.9,72,1016.3
2016-01-10,20.5,0.0,18.9,66,1016.8
2016-01-11,19.3,0.0,17.7,66,1019.2
2016-01-12,17.7,0.1,15.0,73,1018.0
2016-01-13,19.3,1.2,23.1,72,1017.2
2016-01-14,18.9,0.0,15.1,75,1017.0
2016-01-15,17.7,0.0,13.6,79,1017.4
2016-01-16,18.3,0.0,17.1,75,1016.9
2016-01-17,19.9,0.0,14.3,72,1014.9
2016-01-18,20.1,0.0,16.1,57,1015.5
2016-01-19,20.0,0.0,14.2,46,1016.5
2016-01-20,19.0,0.0,13.9,64,1019.1
2016-01-21,18.9,0.0,14.8,73,1020.4
2016-01-22,19.4,0.0,14.3,78,1018.5
2016-01-23,18.5,0.0,11.8,77,1018.1
2016-01-24,19.5,0.0,12.2,71,1017.3
2016-01-25,20.5,0.0,20.8,57,1014.9
2016-01-26,20.8,0.0,17.8,63,1015.0
2016-01-27,21.2,0.0,16.6,62,1014.2
2016-01-28,20.1,0.0,25.1,53,1016.6
2016-01-29,17.8,0.0,30.8,51,1021.6
2016-01-30,17.9,0.0,27.8,54,1022.4
2016-01-31,18.3,0.0,15.5,55,1021.8
2016-02-01,17.4,0.0,16.8,63,1021.1
2016-02-02,17.4,0.0,15.7,66,1019.9
2016-02-03,18.0,0.0,16.0,67,1019.8
2016-02-04,20.1,0.0,26.4,61,1020.7
2016-02-05,19.0,0.0,19.8,58,1021.4
2016-02-06,19.6,0.0,17.6,60,1018.2
2016-02-07,17.7,0.0,13.9,68,1017.1
2016-02-08,19.6,0.0,14.8,52,1016.8
2016-02-09,18.6,0.0,28.9,57,1017.1
2016-02-10,19.1,0.0,13.7,63,1016.9
2016-02-11,18.9,0.0,20.9,70,1015.4
2016-02-12,19.0,0.0,28.5,62,1017.0
2016-02-13,18.8,0.0,18.5,67,1018.2
2016-02-14,19.3,0.0,20.4,69,1018.7
2016-02-15,19.3,0.0,21.3,72,1019.2
2016-02-16,19.0,0.0,16.8,71,1018.4
2016-02-17,18.6,1.1,18.2,76,1017.5
2016-02-18,19.2,0.1,18.9,70,1017.7
2016-02-19,20.3,0.0,22.3,68,1019.8
2016-02-20,18.8,0.0,17.3,68,1019.9
2016-02-21,19.1,0.0,14.9,65,1017.9
2016-02-22,22.4,0.0,16.4,56,1016.5
2016-02-23,24.5,0.0,16.2,42,1015.4
2016-02-24,25.8,0.0,12.6,43,1013.5
2016-02-25,23.6,0.0,21.2,67,1014.1
2016-02-26,21.5,0.4,30.4,73,1017.2
2016-02-27,23.1,0.0,21.6,74,1017.1
2016-02-28,24.8,0.0,16.9,64,1017.2
2016-02-29,24.6,0.0,25.0,65,1016.7
2016-03-01,21.7,0.0,22.8,67,1014.9
2016-03-02,20.6,0.0,16.5,64,1014.6
2016-03-03,22.7,0.0,22.2,66,1015.0
2016-03-04,23.7,0.0,23.9,69,1013.9
2016-03-05,24.1,0.0,18.2,65,1011.2
2016-03-06,24.5,0.0,20.9,71,1010.3
2016-03-07,24.3,0.0,22.5,63,1011.9
2016-03-08,22.9,7.8,22.7,74,1011.3
2016-03-09,21.4,29.1,28.2,89,1010.8
2016-03-10,21.6,0.5,18.3,86,1013.2
2016-03-11,20.7,0.0,15.6,83,1014.3
2016-03-12,21.2,0.0,11.2,76,1012.8
2016-03-13,22.2,0.0,23.3,72,1012.5
2016-03-14,22.7,0.0,22.5,66,1012.9
2016-03-15,24.5,0.2,16.6,68,1011.4
2016-03-16,24.6,0.3,25.6,58,1013.0
2016-03-17,23.7,0.1,15.8,57,1013.1
2016-03-18,23.8,0.0,25.6,51,1013.9
2016-03-19,23.0,0.0,27.4,57,1015.1
2016-03-20,22.3,0.0,22.3,62,1015.8
2016-03-21,24.9,0.0,14.5,49,1013.7
2016-03-22,23.7,2.1,30.5,71,1013.2
2016-03-23,23.3,0.9,25.0,71,1013.9
2016-03-24,21.7,0.0,19.6,58,1017.7
2016-03-25,21.7,0.0,22.6,68,1018.4
2016-03-26,23.9,0.0,23.2,63,1016.3
2016-03-27,26.3,0.0,17.8,46,1013.4
2016-03-28,28.9,0.0,27.9,31,1011.2
2016-03-29,30.7,0.0,29.6,36,1010.3
2016-03-30,28.8,0.0,34.9,51,1010.6
2016-03-31,26.2,0.6,28.2,68,1010.9
2016-04-01,21.2,4.8,25.0,66,1013.4
2016-04-02,21.4,0.0,34.8,53,1015.1
2016-04-03,21.3,0.0,21.4,53,1016.2
2016-04-04,21.3,0.0,27.8,60,1014.0
2016-04-05,23.1,0.0,28.5,62,1011.7
2016-04-06,24.2,0.0,17.9,52,1011.2
2016-04-07,26.8,0.0,20.9,45,1009.6
2016-04-08,27.5,0.1,22.0,47,1009.3
2016-04-09,25.9,0.0,28.7,55,1011.1
2016-04-10,25.6,0.0,21.7,49,1013.1
2016-04-11,26.0,0.0,18.1,39,1012.1
2016-04-12,27.8,0.0,26.3,38,1009.0
2016-04-13,29.2,0.0,33.4,51,1008.1
2016-04-14,28.7,0.0,18.4,53,1008.2
2016-04-15,26.7,0.3,14.8,60,1011.5
2016-04-16,26.0,0.0,36.6,50,1012.4
2016-04-17,24.6,0.0,27.2,64,1010.4
2016-04-18,26.4,0.0,34.7,50,1008.9
2016-04-19,26.6,0.0,31.1,49,1010.3
2016-04-20,25.8,0.0,22.4,54,1013.1
2016-04-21,26.4,0.0,31.0,50,1012.8
2016-04-22,25.9,0.0,28.2,55,1011.4
2016-04-23,26.0,0.0,23.7,56,1008.7
2016-04-24,27.2,0.0,25.2,40,1006.9
2016-04-25,27.3,0.0,20.9,45,1007.3
2016-04-26,27.5,0.0,24.9,54,1009.1
2016-04-27,29.7,0.0,24.0,51,1009.1
2016-04-28,31.9,0.0,16.8,43,1007.4
2016-04-29,33.0,0.0,18.8,34,1007.0
2016-04-30,31.2,0.0,22.4,44,1008.0
2016-05-01,27.8,0.0,29.3,60,1009.1
2016-05-02,27.7,0.0,26.9,51,1008.3
2016-05-03,28.8,0.0,25.0,39,1006.8
2016-05-04,30.1,0.0,18.3,38,1005.5
2016-05-05,31.0,0.0,23.4,42,1005.9
2016-05-06,33.8,0.0,21.7,36,1005.7
2016-05-07,32.6,0.0,25.2,43,1006.3
2016-05-08,32.4,0.0,23.1,43,1007.1
2016-05-09,32.4,0.0,26.4,41,1006.4
2016-05-10,31.9,0.0,28.2,48,1006.6
2016-05-11,32.3,0.0,20.0,48,1007.6
2016-05-12,32.6,0.0,21.7,43,1006.0
2016-05-13,33.0,0.0,21.6,38,1005.3
2016-05-14,31.3,0.0,25.1,53,1006.9
2016-05-15,30.5,0.0,20.2,60,1005.9
2016-05-16,31.2,0.0,19.2,62,1004.6
2016-05-17,33.2,0.0,25.0,49,1003.6
2016-05-18,34.0,0.0,22.2,39,1003.0
2016-05-19,33.7,0.0,24.2,40,1001.8
2016-05-20,33.3,0.0,22.9,47,1001.2
2016-05-21,31.7,0.0,26.0,61,1002.1
2016-05-22,31.0,0.0,31.5,55,1003.7
2016-05-23,30.7,0.0,24.9,59,1003.5
2016-05-24,31.4,0.0,22.5,60,1002.1
2016-05-25,32.5,0.0,24.9,53,1001.4
2016-05-26,30.5,0.0,27.4,52,1003.3
2016-05-27,29.7,0.0,22.4,58,1004.6
2016-05-28,30.6,0.0,17.5,60,1003.8
2016-05-29,31.8,0.0,20.9,52,1002.6
2016-05-30,34.4,0.0,24.3,42,1000.8
2016-05-31,34.9,0.0,32.3,39,1002.6
2016-06-01,31.8,0.0,45.3,42,1004.2
2016-06-02,31.8,0.0,40.8,49,1003.3
2016-06-03,30.8,0.0,23.4,59,1003.0
2016-06-04,31.7,0.0,21.6,57,1004.2
2016-06-05,32.7,0.0,23.4,56,1005.2
2016-06-06,33.4,0.0,27.3,54,1004.9
2016-06-07,33.0,0.0,22.0,48,1003.7
2016-06-08,32.4,0.0,19.2,48,1001.7
2016-06-09,32.5,0.0,22.1,56,999.6
2016-06-10,33.0,0.0,17.6,53,1000.1
2016-06-11,33.7,0.0,21.3,51,1000.3
2016-06-12,33.8,0.0,26.2,50,1000.3
2016-06-13,32.9,0.0,42.8,45,1000.9
2016-06-14,31.4,0.0,30.1,57,1000.3
2016-06-15,32.0,0.0,19.9,58,997.9
2016-06-16,34.8,0.0,23.8,42,997.1
2016-06-17,34.2,0.0,22.3,52,999.0
2016-06-18,33.4,0.0,27.0,55,1001.0
2016-06-19,32.6,0.0,25.0,59,1001.1
2016-06-20,32.6,0.0,22.3,58,999.3
2016-06-21,33.3,0.0,21.0,56,997.5
